experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,sigma_bin,density_bin,coverage,avg_width
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0,2,0.9810126582278481,1.5739971159999333
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,1,0,0.8571428571428571,1.5787949506045738
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,1,1,0.8768115942028986,1.5797938275827774
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,1,2,0.8227848101265823,1.5809591387272173
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,2,0,0.6966292134831461,1.5802545259090224
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,2,1,0.7004405286343612,1.5859344483731528
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,2,2,0.7032967032967034,1.5840145230309617
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0,0,0.9793103448275862,1.5693917656547993
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0,1,0.9846153846153847,1.5693917656547993
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,0,2,0.9921568627450981,1.569391765654799
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,1,0,0.8876404494382022,1.5693917656547987
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,1,1,0.9056603773584906,1.5693917656547987
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,1,2,0.8344827586206897,1.569391765654799
